genome,completeness,contamination,strain_heterogeneity,length,N50
Aluwihare_DNA14_bin.233.fa,84.26,7.26,80.0,1664493,30405
Aluwihare_DNA14_bin.234.fa,84.05,4.31,75.0,1441915,18767
Aluwihare_DNA14_bin.237.fa,0.0,0.0,0.0,261630,76096
Aluwihare_DNA14_bin.238.fa,0.0,0.0,0.0,265134,54990
Aluwihare_DNA14_bin.24.fa,54.62,0.0,0.0,1511977,2828
Aluwihare_DNA14_bin.240.fa,64.83,0.34,100.0,1606835,7073
Aluwihare_DNA14_bin.241.fa,3.54,0.44,0.0,209863,127933
Aluwihare_DNA14_bin.242.fa,91.88,3.85,0.0,2757470,14360
Aluwihare_DNA14_bin.243.fa,74.43,3.76,85.71,3398480,8715
Aluwihare_DNA14_bin.244.fa,86.95,3.56,33.33,1486226,5551
Aluwihare_DNA14_bin.246.fa,22.41,0.0,0.0,870060,3258
Aluwihare_DNA14_bin.249.fa,0.83,0.0,0.0,263174,23222
Aluwihare_DNA14_bin.25.fa,5.09,0.0,0.0,278270,2066
Aluwihare_DNA14_bin.250.fa,92.29,0.57,0.0,2564808,6689
Aluwihare_DNA14_bin.252.fa,0.0,0.0,0.0,307309,18888
Aluwihare_DNA14_bin.254.fa,0.0,0.0,0.0,394774,20738
Aluwihare_DNA14_bin.255.fa,71.76,0.0,0.0,490494,21392
Aluwihare_DNA14_bin.256.fa,80.96,0.53,100.0,1217802,15267
Aluwihare_DNA14_bin.257.fa,42.59,0.0,0.0,1113464,4603
Aluwihare_DNA14_bin.258.fa,93.1,8.62,94.74,1122448,28030
Aluwihare_DNA14_bin.259.fa,0.0,0.0,0.0,411257,44484
Aluwihare_DNA14_bin.26.fa,5.17,0.0,0.0,373259,2076
Aluwihare_DNA14_bin.261.fa,74.45,0.0,0.0,1083324,22933
Aluwihare_DNA14_bin.262.fa,68.26,0.68,100.0,1372428,27210
Aluwihare_DNA14_bin.263.fa,79.31,0.0,0.0,1480268,18525
Aluwihare_DNA14_bin.265.fa,11.16,2.51,0.0,2187697,1831
Aluwihare_DNA14_bin.267.fa,0.0,0.0,0.0,318676,21467
Aluwihare_DNA14_bin.268.fa,68.1,1.72,0.0,1473174,11599
Aluwihare_DNA14_bin.271.fa,0.0,0.0,0.0,376123,39372
Aluwihare_DNA14_bin.273.fa,62.07,1.72,100.0,1527432,5098
Aluwihare_DNA14_bin.274.fa,0.0,0.0,0.0,231286,50344
Aluwihare_DNA14_bin.275.fa,59.41,3.87,16.67,675942,8462
Aluwihare_DNA14_bin.277.fa,78.64,1.2,50.0,2014534,4835
Aluwihare_DNA14_bin.278.fa,85.93,4.16,22.22,1557008,10331
Aluwihare_DNA14_bin.279.fa,17.23,3.51,0.0,1809833,2125
Aluwihare_DNA14_bin.280.fa,0.0,0.0,0.0,349422,17726
Aluwihare_DNA14_bin.281.fa,73.7,1.18,100.0,5588733,32946
Aluwihare_DNA14_bin.282.fa,51.53,0.39,100.0,590386,18977
Aluwihare_DNA14_bin.283.fa,0.29,0.0,0.0,311893,28981
Aluwihare_DNA14_bin.284.fa,8.62,0.0,0.0,265565,14678
Aluwihare_DNA14_bin.286.fa,81.02,0.46,100.0,1012020,12183
Aluwihare_DNA14_bin.289.fa,32.76,0.0,0.0,588011,3175
Aluwihare_DNA14_bin.29.fa,65.39,1.37,33.33,900872,12746
Aluwihare_DNA14_bin.290.fa,49.14,0.0,0.0,1015325,8352
Aluwihare_DNA14_bin.292.fa,75.9,0.49,100.0,1107484,9272
Aluwihare_DNA14_bin.294.fa,44.18,0.0,0.0,1188066,2368
Aluwihare_DNA14_bin.295.fa,94.68,2.16,40.0,3833582,14044
Aluwihare_DNA14_bin.296.fa,62.24,2.71,20.0,1239093,3216
Aluwihare_DNA14_bin.297.fa,81.03,2.59,50.0,3658577,25892
Aluwihare_DNA14_bin.298.fa,0.0,0.0,0.0,413477,6066
Aluwihare_DNA14_bin.299.fa,96.7,0.0,0.0,2042363,40914
Aluwihare_DNA14_bin.3.fa,2.15,0.0,0.0,728749,4457
Aluwihare_DNA14_bin.30.fa,13.79,0.0,0.0,230600,19313
Aluwihare_DNA14_bin.302.fa,21.55,0.0,0.0,1932527,6762
Aluwihare_DNA14_bin.304.fa,0.0,0.0,0.0,306114,4286
Aluwihare_DNA14_bin.306.fa,89.34,2.16,54.55,1454228,15273
Aluwihare_DNA14_bin.307.fa,38.19,2.59,33.33,1266000,2230
Aluwihare_DNA14_bin.309.fa,0.0,0.0,0.0,269371,6334
Aluwihare_DNA14_bin.310.fa,0.0,0.0,0.0,391441,2070
Aluwihare_DNA14_bin.311.fa,0.63,0.0,0.0,220605,13270
Aluwihare_DNA14_bin.312.fa,65.63,0.85,0.0,1435325,3119
Aluwihare_DNA14_bin.314.fa,5.39,0.0,0.0,349260,4198
Aluwihare_DNA14_bin.316.fa,0.0,0.0,0.0,323409,261775
Aluwihare_DNA14_bin.319.fa,0.57,0.0,0.0,292425,10957
Aluwihare_DNA14_bin.32.fa,0.32,0.0,0.0,388269,4023
Aluwihare_DNA14_bin.321.fa,96.72,0.86,0.0,1636580,43616
Aluwihare_DNA14_bin.324.fa,2.04,0.0,0.0,266351,22794
Aluwihare_DNA14_bin.325.fa,87.82,2.14,0.0,2214804,17707
Aluwihare_DNA14_bin.326.fa,0.0,0.0,0.0,249214,45474
Aluwihare_DNA14_bin.327.fa,54.48,0.0,0.0,913556,12210
Aluwihare_DNA14_bin.328.fa,3.51,0.5,0.0,519130,5920
Aluwihare_DNA14_bin.329.fa,56.13,0.85,0.0,807563,52420
Aluwihare_DNA14_bin.33.fa,92.59,2.87,33.33,6488677,12036
Aluwihare_DNA14_bin.331.fa,32.76,6.37,10.0,1596423,1618
Aluwihare_DNA14_bin.332.fa,87.78,1.71,50.0,1759188,16793
Aluwihare_DNA14_bin.333.fa,50.61,0.43,0.0,1343960,2832
Aluwihare_DNA14_bin.335.fa,0.0,0.0,0.0,533978,23794
Aluwihare_DNA14_bin.337.fa,53.33,1.75,100.0,2078107,3699
Aluwihare_DNA14_bin.338.fa,0.0,0.0,0.0,255069,4897
Aluwihare_DNA14_bin.34.fa,79.2,2.14,33.33,1500008,20667
Aluwihare_DNA14_bin.340.fa,24.14,0.0,0.0,258174,3462
Aluwihare_DNA14_bin.342.fa,56.5,0.0,0.0,1727261,3098
Aluwihare_DNA14_bin.344.fa,86.18,6.2,10.0,4871739,5038
Aluwihare_DNA14_bin.345.fa,76.34,0.55,0.0,1876602,16317
Aluwihare_DNA14_bin.346.fa,6.33,0.43,0.0,303045,4534
Aluwihare_DNA14_bin.347.fa,4.45,0.5,0.0,425772,8749
Aluwihare_DNA14_bin.349.fa,7.1,0.0,0.0,646035,2022
Aluwihare_DNA14_bin.350.fa,36.87,0.43,0.0,645323,2202
Aluwihare_DNA14_bin.351.fa,11.21,0.0,0.0,231486,1980
Aluwihare_DNA14_bin.352.fa,8.62,0.0,0.0,394176,2129
Aluwihare_DNA14_bin.354.fa,34.09,0.78,80.0,1236790,2795
Aluwihare_DNA14_bin.356.fa,44.83,0.2,100.0,555705,3988
Aluwihare_DNA14_bin.359.fa,0.0,0.0,0.0,223536,5150
Aluwihare_DNA14_bin.36.fa,80.81,0.53,0.0,1340815,41945
Aluwihare_DNA14_bin.361.fa,32.52,0.0,0.0,1961449,2462
Aluwihare_DNA14_bin.363.fa,81.37,4.4,42.86,3796921,19609
Aluwihare_DNA14_bin.364.fa,4.17,0.0,0.0,321193,3590
Aluwihare_DNA14_bin.365.fa,44.83,1.72,100.0,1415602,5834
Aluwihare_DNA14_bin.366.fa,4.91,0.5,0.0,333500,9476
Aluwihare_DNA14_bin.367.fa,50.25,0.0,0.0,1014409,2430
Aluwihare_DNA14_bin.368.fa,0.0,0.0,0.0,248253,52578
Aluwihare_DNA14_bin.370.fa,26.95,1.75,0.0,1026259,3341
Aluwihare_DNA14_bin.371.fa,44.68,9.73,0.0,1921451,2436
Aluwihare_DNA14_bin.372.fa,30.79,1.71,0.0,455565,3263
Aluwihare_DNA14_bin.373.fa,0.0,0.0,0.0,366504,111249
Aluwihare_DNA14_bin.375.fa,2.97,0.0,0.0,439996,353731
Aluwihare_DNA14_bin.377.fa,24.06,0.31,100.0,560550,2853
Aluwihare_DNA14_bin.378.fa,29.31,0.0,0.0,406186,2505
Aluwihare_DNA14_bin.380.fa,0.0,0.0,0.0,323406,30318
Aluwihare_DNA14_bin.382.fa,6.38,0.0,0.0,379507,4219
Aluwihare_DNA14_bin.384.fa,0.0,0.0,0.0,285131,58047
Aluwihare_DNA14_bin.386.fa,8.77,0.0,0.0,441366,8501
Aluwihare_DNA14_bin.387.fa,16.67,0.02,100.0,269954,2557
Aluwihare_DNA14_bin.389.fa,0.0,0.0,0.0,292135,5623
Aluwihare_DNA14_bin.39.fa,98.0,0.0,0.0,2264401,197065
Aluwihare_DNA14_bin.390.fa,0.0,0.0,0.0,306444,3149
Aluwihare_DNA14_bin.391.fa,16.0,0.0,0.0,1053915,2089
Aluwihare_DNA14_bin.392.fa,0.0,0.0,0.0,359353,12578
Aluwihare_DNA14_bin.394.fa,15.52,0.0,0.0,309128,2994
Aluwihare_DNA14_bin.396.fa,55.76,4.05,0.0,957979,3851
Aluwihare_DNA14_bin.399.fa,18.28,0.69,100.0,447951,2290
Aluwihare_DNA14_bin.4.fa,45.69,1.72,100.0,2202685,4193
Aluwihare_DNA14_bin.400.fa,4.17,0.0,0.0,370716,1895
Aluwihare_DNA14_bin.402.fa,12.07,1.72,0.0,337257,1958
Aluwihare_DNA14_bin.404.fa,0.0,0.0,0.0,331020,2075
Aluwihare_DNA14_bin.405.fa,80.01,1.4,42.86,1110848,10793
Aluwihare_DNA14_bin.406.fa,54.31,1.72,0.0,514763,2154
Aluwihare_DNA14_bin.408.fa,0.0,0.0,0.0,216934,1985
Aluwihare_DNA14_bin.409.fa,62.19,0.0,0.0,1110673,9807
Aluwihare_DNA14_bin.41.fa,40.52,1.72,100.0,593365,2764
Aluwihare_DNA14_bin.410.fa,58.49,1.85,0.0,840050,26855
Aluwihare_DNA14_bin.413.fa,0.0,0.0,0.0,646799,5146
Aluwihare_DNA14_bin.416.fa,0.63,0.16,100.0,241812,6775
Aluwihare_DNA14_bin.419.fa,0.47,0.0,0.0,207032,115804
Aluwihare_DNA14_bin.421.fa,82.87,0.0,0.0,1072924,28639
Aluwihare_DNA14_bin.423.fa,2.83,0.0,0.0,517135,18750
Aluwihare_DNA14_bin.424.fa,61.19,0.0,0.0,690410,46467
Aluwihare_DNA14_bin.425.fa,80.56,1.39,100.0,1036372,14290
Aluwihare_DNA14_bin.426.fa,0.0,0.0,0.0,249630,17007
Aluwihare_DNA14_bin.427.fa,90.41,1.34,100.0,2204835,15074
Aluwihare_DNA14_bin.428.fa,56.03,1.72,0.0,1095434,14738
Aluwihare_DNA14_bin.429.fa,89.57,1.08,0.0,1576534,47873
Aluwihare_DNA14_bin.43.fa,12.07,0.0,0.0,230792,3438
Aluwihare_DNA14_bin.430.fa,8.33,0.0,0.0,611544,24011
Aluwihare_DNA14_bin.431.fa,89.79,1.14,0.0,1984509,19732
Aluwihare_DNA14_bin.432.fa,3.98,0.5,12.5,224128,20629
Aluwihare_DNA14_bin.433.fa,59.53,7.65,72.22,1756567,7035
Aluwihare_DNA14_bin.435.fa,21.69,0.0,0.0,352739,10476
Aluwihare_DNA14_bin.437.fa,22.41,0.0,0.0,649895,19505
Aluwihare_DNA14_bin.438.fa,2.29,0.07,0.0,318516,6363
Aluwihare_DNA14_bin.44.fa,8.78,0.0,0.0,290364,2574
Aluwihare_DNA14_bin.440.fa,78.87,5.61,30.0,1409171,5114
Aluwihare_DNA14_bin.442.fa,23.31,0.0,0.0,215419,3958
Aluwihare_DNA14_bin.444.fa,26.21,0.0,0.0,510422,3159
Aluwihare_DNA14_bin.445.fa,66.3,0.44,0.0,3295281,3998
Aluwihare_DNA14_bin.448.fa,0.0,0.0,0.0,233906,3804
Aluwihare_DNA14_bin.449.fa,33.02,0.0,0.0,1973725,2187
Aluwihare_DNA14_bin.450.fa,32.37,1.51,50.0,2127301,2696
Aluwihare_DNA14_bin.452.fa,34.48,0.0,0.0,741915,3503
Aluwihare_DNA14_bin.453.fa,28.79,0.0,0.0,447306,2609
Aluwihare_DNA14_bin.454.fa,28.84,0.0,0.0,917131,2340
Aluwihare_DNA14_bin.456.fa,13.0,0.0,0.0,260888,2429
Aluwihare_DNA14_bin.459.fa,44.98,1.72,100.0,1138160,2177
Aluwihare_DNA14_bin.46.fa,10.5,0.0,0.0,378025,2067
Aluwihare_DNA14_bin.461.fa,17.9,0.0,0.0,601455,2236
Aluwihare_DNA14_bin.463.fa,4.17,0.0,0.0,661456,2116
Aluwihare_DNA14_bin.47.fa,0.0,0.0,0.0,223225,3299
Aluwihare_DNA14_bin.48.fa,4.23,0.0,0.0,210357,2601
Aluwihare_DNA14_bin.49.fa,4.84,0.58,0.0,781760,4076
Aluwihare_DNA14_bin.5.fa,36.52,2.36,0.0,1330715,3726
Aluwihare_DNA14_bin.50.fa,0.5,0.0,0.0,265366,16291
Aluwihare_DNA14_bin.51.fa,75.92,4.79,42.31,2730118,5358
Aluwihare_DNA14_bin.52.fa,75.35,1.05,0.0,1149222,20311
Aluwihare_DNA14_bin.53.fa,75.7,0.05,0.0,1026928,36966
Aluwihare_DNA14_bin.55.fa,99.69,0.0,0.0,3104320,37577
Aluwihare_DNA14_bin.57.fa,0.0,0.0,0.0,349436,44955
Aluwihare_DNA14_bin.58.fa,16.52,0.57,0.0,242275,3816
Aluwihare_DNA14_bin.60.fa,60.98,3.95,7.69,916344,4223
Aluwihare_DNA14_bin.62.fa,48.28,0.0,0.0,823143,4670
Aluwihare_DNA14_bin.64.fa,24.31,0.0,0.0,726533,2977
Aluwihare_DNA14_bin.65.fa,3.98,0.0,0.0,456922,9620
Aluwihare_DNA14_bin.66.fa,40.37,0.27,0.0,2278895,2345
Aluwihare_DNA14_bin.68.fa,83.26,0.82,0.0,1322067,25471
Aluwihare_DNA14_bin.69.fa,91.03,0.78,100.0,1333825,36291
Aluwihare_DNA14_bin.7.fa,72.29,0.0,0.0,1727161,4419
Aluwihare_DNA14_bin.70.fa,32.42,0.95,0.0,517624,2300
Aluwihare_DNA14_bin.71.fa,92.31,2.14,0.0,2251325,38995
Aluwihare_DNA14_bin.72.fa,6.9,0.0,0.0,202959,2803
Aluwihare_DNA14_bin.73.fa,36.21,0.0,0.0,676347,2421
Aluwihare_DNA14_bin.74.fa,5.36,0.0,0.0,420997,26523
Aluwihare_DNA14_bin.76.fa,0.0,0.0,0.0,466997,3268
Aluwihare_DNA14_bin.79.fa,0.0,0.0,0.0,211650,3017
Aluwihare_DNA14_bin.8.fa,45.83,3.42,0.0,2366238,2947
Aluwihare_DNA14_bin.81.fa,12.5,0.0,0.0,265112,34142
Aluwihare_DNA14_bin.84.fa,80.28,0.11,100.0,1141977,11914
Aluwihare_DNA14_bin.85.fa,55.28,0.43,10.0,1045389,3035
Aluwihare_DNA14_bin.86.fa,0.0,0.0,0.0,211904,11057
Aluwihare_DNA14_bin.87.fa,64.91,0.0,0.0,1713438,5294
Aluwihare_DNA14_bin.88.fa,0.0,0.0,0.0,274026,2671
Aluwihare_DNA14_bin.89.fa,93.87,1.64,0.0,4339879,13962
Aluwihare_DNA14_bin.90.fa,59.67,1.44,28.57,2850320,7565
Aluwihare_DNA14_bin.91.fa,0.0,0.0,0.0,275203,216326
Aluwihare_DNA14_bin.92.fa,15.52,0.0,0.0,628025,6539
Aluwihare_DNA14_bin.93.fa,0.0,0.0,0.0,266577,12606
Aluwihare_DNA14_bin.95.fa,0.0,0.0,0.0,255056,27742
Aluwihare_DNA14_bin.97.fa,0.0,0.0,0.0,400618,3546
Aluwihare_DNA14_bin.98.fa,72.28,0.5,0.0,714497,29981
Aluwihare_DNA1_bin.1.fa,0.0,0.0,0.0,368962,2324
Aluwihare_DNA1_bin.10.fa,4.45,0.5,0.0,338458,5972
Aluwihare_DNA1_bin.101.fa,0.0,0.0,0.0,3492037,9050
Aluwihare_DNA1_bin.103.fa,79.1,1.71,50.0,1858911,14785
Aluwihare_DNA1_bin.104.fa,20.17,7.76,20.0,2057572,1964
Aluwihare_DNA1_bin.105.fa,58.26,8.57,41.38,2227358,2711
Aluwihare_DNA1_bin.106.fa,91.32,6.23,12.5,2392738,14654
Aluwihare_DNA1_bin.107.fa,3.95,1.87,0.0,4723646,2498
Aluwihare_DNA1_bin.108.fa,46.94,1.72,0.0,1360393,3869
Aluwihare_DNA1_bin.109.fa,4.15,0.0,0.0,573955,2754
Aluwihare_DNA1_bin.11.fa,0.0,0.0,0.0,201701,3042
Aluwihare_DNA1_bin.110.fa,92.57,3.61,62.5,2293212,39438
Aluwihare_DNA1_bin.111.fa,0.0,0.0,0.0,208843,12591
Aluwihare_DNA1_bin.113.fa,3.2,0.66,0.0,534192,4987
Aluwihare_DNA1_bin.115.fa,30.75,6.35,0.0,1376545,1409
Aluwihare_DNA1_bin.117.fa,52.9,3.45,50.0,2006436,5129
Aluwihare_DNA1_bin.118.fa,97.44,1.28,0.0,1868133,54646
Aluwihare_DNA1_bin.12.fa,0.0,0.0,0.0,256340,10049
Aluwihare_DNA1_bin.120.fa,0.0,0.0,0.0,279151,17538
Aluwihare_DNA1_bin.122.fa,12.23,0.0,0.0,672109,1986
Aluwihare_DNA1_bin.124.fa,0.0,0.0,0.0,260757,4538
Aluwihare_DNA1_bin.125.fa,35.82,0.0,0.0,1237142,9944
Aluwihare_DNA1_bin.126.fa,80.23,1.16,0.0,1177145,10604
Aluwihare_DNA1_bin.128.fa,4.91,0.43,0.0,430310,24910
Aluwihare_DNA1_bin.129.fa,53.21,1.71,0.0,775138,2440
Aluwihare_DNA1_bin.13.fa,0.0,0.0,0.0,229012,5051
Aluwihare_DNA1_bin.132.fa,6.03,0.0,0.0,308066,8171
Aluwihare_DNA1_bin.133.fa,82.68,1.28,0.0,1941609,21323
Aluwihare_DNA1_bin.134.fa,74.23,2.86,100.0,1566602,4110
Aluwihare_DNA1_bin.136.fa,64.85,0.0,0.0,662959,74168
Aluwihare_DNA1_bin.139.fa,66.68,3.13,0.0,1489616,3296
Aluwihare_DNA1_bin.14.fa,77.34,1.08,0.0,1952136,5650
Aluwihare_DNA1_bin.141.fa,73.59,6.9,0.0,1557714,5411
Aluwihare_DNA1_bin.143.fa,30.17,0.0,0.0,653726,3784
Aluwihare_DNA1_bin.144.fa,4.4,3.36,0.0,229096,6924
Aluwihare_DNA1_bin.145.fa,0.0,0.0,0.0,254224,8917
Aluwihare_DNA1_bin.146.fa,0.0,0.0,0.0,3094156,4250
Aluwihare_DNA1_bin.147.fa,0.0,0.0,0.0,670108,6902
Aluwihare_DNA1_bin.148.fa,0.0,0.0,0.0,234004,35473
Aluwihare_DNA1_bin.149.fa,0.0,0.0,0.0,590094,7000
Aluwihare_DNA1_bin.150.fa,0.0,0.0,0.0,391398,2619
Aluwihare_DNA1_bin.151.fa,29.76,1.75,0.0,1114503,2358
Aluwihare_DNA1_bin.152.fa,0.0,0.0,0.0,475185,61918
Aluwihare_DNA1_bin.153.fa,4.17,0.0,0.0,745671,13703
Aluwihare_DNA1_bin.155.fa,3.51,2.04,18.75,347965,9600
Aluwihare_DNA1_bin.157.fa,0.0,0.0,0.0,269167,8607
Aluwihare_DNA1_bin.158.fa,64.81,1.21,100.0,1899339,7856
Aluwihare_DNA1_bin.16.fa,60.94,2.72,40.0,470664,5167
Aluwihare_DNA1_bin.160.fa,0.0,0.0,0.0,206200,34053
Aluwihare_DNA1_bin.162.fa,47.8,5.13,13.33,1826423,3439
Aluwihare_DNA1_bin.164.fa,0.0,0.0,0.0,284145,3172
Aluwihare_DNA1_bin.165.fa,60.37,1.15,50.0,2281802,3968
Aluwihare_DNA1_bin.166.fa,74.13,2.16,62.5,1655777,3598
Aluwihare_DNA1_bin.168.fa,0.0,0.0,0.0,239840,24380
Aluwihare_DNA1_bin.169.fa,0.0,0.0,0.0,203432,9575
Aluwihare_DNA1_bin.172.fa,0.0,0.0,0.0,455326,16238
Aluwihare_DNA1_bin.173.fa,0.0,0.0,0.0,666434,10353
Aluwihare_DNA1_bin.174.fa,0.78,0.0,0.0,339665,11821
Aluwihare_DNA1_bin.176.fa,95.79,3.48,0.0,4705543,9808
Aluwihare_DNA1_bin.179.fa,87.78,2.99,66.67,2154475,13526
Aluwihare_DNA1_bin.181.fa,75.58,2.82,0.0,1877072,12063
Aluwihare_DNA1_bin.183.fa,78.29,1.23,33.33,1188328,17336
Aluwihare_DNA1_bin.184.fa,93.77,5.69,12.5,7852155,7951
Aluwihare_DNA1_bin.185.fa,81.98,0.0,0.0,1309336,43898
Aluwihare_DNA1_bin.186.fa,97.44,1.28,0.0,1882101,79096
Aluwihare_DNA1_bin.187.fa,20.83,4.17,100.0,1037915,3729
Aluwihare_DNA1_bin.188.fa,63.37,6.93,11.11,696917,22747
Aluwihare_DNA1_bin.189.fa,3.98,0.07,0.0,426164,23884
Aluwihare_DNA1_bin.19.fa,51.86,2.45,42.86,693113,11812
Aluwihare_DNA1_bin.190.fa,0.0,0.0,0.0,228552,58348
Aluwihare_DNA1_bin.191.fa,81.22,0.84,40.0,2830422,8934
Aluwihare_DNA1_bin.192.fa,15.99,0.0,0.0,1402487,1942
Aluwihare_DNA1_bin.193.fa,0.0,0.0,0.0,376663,7257
Aluwihare_DNA1_bin.195.fa,3.83,0.36,0.0,369684,28595
Aluwihare_DNA1_bin.197.fa,0.0,0.0,0.0,334366,20088
Aluwihare_DNA1_bin.198.fa,84.79,1.95,75.0,1924655,13634
Aluwihare_DNA1_bin.2.fa,3.69,1.29,57.14,241725,4400
Aluwihare_DNA1_bin.202.fa,69.02,0.88,33.33,1005485,11920
Aluwihare_DNA1_bin.204.fa,0.0,0.0,0.0,229473,11247
Aluwihare_DNA1_bin.205.fa,84.98,2.14,57.14,1600039,32437
Aluwihare_DNA1_bin.206.fa,0.0,0.0,0.0,292748,205039
Aluwihare_DNA1_bin.207.fa,75.79,4.84,30.77,2071253,4070
Aluwihare_DNA1_bin.208.fa,0.0,0.0,0.0,443187,28884
Aluwihare_DNA1_bin.209.fa,83.93,5.41,44.44,1801089,6529
Aluwihare_DNA1_bin.211.fa,75.71,0.26,0.0,1099850,14683
Aluwihare_DNA1_bin.212.fa,51.09,4.33,17.65,2071567,3333
Aluwihare_DNA1_bin.213.fa,84.54,2.99,25.0,2160759,40312
Aluwihare_DNA1_bin.214.fa,22.02,0.0,0.0,1552955,2380
Aluwihare_DNA1_bin.216.fa,0.0,0.0,0.0,233768,15966
Aluwihare_DNA1_bin.219.fa,4.45,0.36,0.0,1084485,2060
Aluwihare_DNA1_bin.221.fa,0.0,0.0,0.0,289020,25370
Aluwihare_DNA1_bin.223.fa,4.45,0.43,0.0,585126,46037
Aluwihare_DNA1_bin.225.fa,0.0,0.0,0.0,446071,4201
Aluwihare_DNA1_bin.226.fa,87.47,1.05,0.0,1389168,29338
Aluwihare_DNA1_bin.227.fa,3.44,0.29,0.0,205084,16341
Aluwihare_DNA1_bin.228.fa,81.57,0.11,100.0,1402256,8460
Aluwihare_DNA1_bin.23.fa,38.29,0.0,0.0,1708809,4123
Aluwihare_DNA1_bin.230.fa,94.81,0.55,0.0,2637251,24437
Aluwihare_DNA1_bin.231.fa,4.91,0.0,0.0,330745,47473
Aluwihare_DNA1_bin.235.fa,0.0,0.0,0.0,310518,45510
Aluwihare_DNA1_bin.237.fa,71.6,0.66,50.0,1482632,14746
Aluwihare_DNA1_bin.238.fa,84.83,0.0,0.0,1998465,44786
Aluwihare_DNA1_bin.240.fa,77.8,0.15,100.0,1435424,20975
Aluwihare_DNA1_bin.242.fa,89.17,1.37,0.0,1637970,18280
Aluwihare_DNA1_bin.244.fa,83.25,0.53,100.0,1169148,22313
Aluwihare_DNA1_bin.245.fa,3.04,0.0,0.0,419305,9943
Aluwihare_DNA1_bin.246.fa,95.28,0.41,0.0,2030968,40178
Aluwihare_DNA1_bin.247.fa,35.34,0.0,0.0,1851436,5046
Aluwihare_DNA1_bin.248.fa,72.41,0.0,0.0,1510818,6655
Aluwihare_DNA1_bin.249.fa,53.09,1.72,50.0,1160440,6414
Aluwihare_DNA1_bin.25.fa,3.51,0.0,0.0,398109,13883
Aluwihare_DNA1_bin.250.fa,81.57,2.4,50.0,3349622,7836
Aluwihare_DNA1_bin.251.fa,79.2,2.99,0.0,3164328,4270
Aluwihare_DNA1_bin.252.fa,0.0,0.0,0.0,354862,55927
Aluwihare_DNA1_bin.253.fa,39.66,1.72,0.0,1386606,3157
Aluwihare_DNA1_bin.254.fa,74.53,2.68,50.0,1557026,13399
Aluwihare_DNA1_bin.256.fa,82.07,0.61,0.0,1437343,13018
Aluwihare_DNA1_bin.259.fa,85.97,2.83,70.0,1477994,16182
Aluwihare_DNA1_bin.26.fa,0.0,0.0,0.0,407097,19114
Aluwihare_DNA1_bin.261.fa,0.0,0.0,0.0,279202,37980
Aluwihare_DNA1_bin.263.fa,78.7,1.28,0.0,2629101,8114
Aluwihare_DNA1_bin.265.fa,36.21,0.0,0.0,1574938,3788
Aluwihare_DNA1_bin.266.fa,67.97,2.82,71.43,2062386,6251
Aluwihare_DNA1_bin.267.fa,76.48,2.97,42.86,1342199,5265
Aluwihare_DNA1_bin.268.fa,68.97,0.0,0.0,1662715,13403
Aluwihare_DNA1_bin.27.fa,0.0,0.0,0.0,480628,13842
Aluwihare_DNA1_bin.270.fa,88.81,3.61,28.57,2353018,17125
Aluwihare_DNA1_bin.271.fa,4.91,0.22,0.0,290395,11636
Aluwihare_DNA1_bin.275.fa,44.51,1.36,0.0,1466998,6159
Aluwihare_DNA1_bin.278.fa,81.6,1.8,66.67,1890734,10864
Aluwihare_DNA1_bin.28.fa,83.85,2.9,16.67,1547199,27800
Aluwihare_DNA1_bin.280.fa,4.91,0.5,0.0,397005,17351
Aluwihare_DNA1_bin.282.fa,95.63,3.21,60.0,1497738,10939
Aluwihare_DNA1_bin.284.fa,1.79,0.0,0.0,218565,9756
Aluwihare_DNA1_bin.285.fa,0.0,0.0,0.0,862289,9856
Aluwihare_DNA1_bin.286.fa,83.03,0.05,0.0,1247339,37751
Aluwihare_DNA1_bin.287.fa,90.41,1.35,0.0,2619328,41917
Aluwihare_DNA1_bin.289.fa,2.6,0.36,0.0,218009,27158
Aluwihare_DNA1_bin.290.fa,77.15,1.41,14.29,3320012,7499
Aluwihare_DNA1_bin.291.fa,0.0,0.0,0.0,237176,12427
Aluwihare_DNA1_bin.292.fa,0.0,0.0,0.0,1044887,3408
Aluwihare_DNA1_bin.293.fa,85.06,2.16,66.67,3053891,9660
Aluwihare_DNA1_bin.294.fa,12.28,1.75,0.0,463556,2574
Aluwihare_DNA1_bin.296.fa,63.58,4.71,16.67,1090505,11559
Aluwihare_DNA1_bin.299.fa,0.0,0.0,0.0,822753,7548
Aluwihare_DNA1_bin.3.fa,59.8,0.0,0.0,1488487,5022
Aluwihare_DNA1_bin.30.fa,74.23,1.65,83.33,1868209,15102
Aluwihare_DNA1_bin.300.fa,0.0,0.0,0.0,217184,13172
Aluwihare_DNA1_bin.306.fa,0.0,0.0,0.0,283068,10014
Aluwihare_DNA1_bin.309.fa,36.52,0.0,0.0,987409,6664
Aluwihare_DNA1_bin.31.fa,95.95,0.03,100.0,1394090,14758
Aluwihare_DNA1_bin.310.fa,59.52,3.66,26.09,1813118,3002
Aluwihare_DNA1_bin.312.fa,73.89,0.75,100.0,1104309,12149
Aluwihare_DNA1_bin.314.fa,59.4,0.0,0.0,1506728,7415
Aluwihare_DNA1_bin.315.fa,0.0,0.0,0.0,278447,66122
Aluwihare_DNA1_bin.316.fa,4.17,0.0,0.0,278505,5941
